Sample,Experiment,Dataset,R-Squared,M0,T1,alpha,M0_error,T1_error,alpha_error,T2_star,offset,T2_star_error,offset_error,T2,T2_error
,t1,week4.1 week4.1 - T1 Analysis,0.12367225161666384,9182.591658179479,1012.2732893879396,0.49993346594440735,142143310.71432158,15683302.266736498,1.0278918493864775,,,,,,
,t2_star,week4.1 mineral-oil - T2* Analysis,0.993053082639096,30.77131342617969,,,0.009478586039699295,,,0.00021691708820772187,3.4572003851238358,6.221741574740813e-08,0.0006576759822865833,,
Water,t2,week4.1 water - T2 Analysis,0.9932180556719825,31.178587568188586,,,1.9610815044248529,,,,-3.354258725263825,,4.033450279796279,0.3222875984434223,0.09779177580126729
Water,t2_combined,week4.1 water - Spin Echo (Echo Train),0.898425496720453,29.58545299798612,,,21.356341274883746,,,,25.680519454531435,,22.689126509892276,0.6031159180803296,0.694038456821333
