Sample,Experiment,Dataset,R-Squared,M0,T2,J,offset,M0_error,T2_error,J_error,offset_error,T2_star,T2_star_error,T1,alpha,T1_error,alpha_error
ethanol,t2,week4.2 ethanol-100% - T2 Analysis (J-Modulated),0.8915831661683892,343.16137158645984,0.07557761667464324,5.91668061897752,6.749321214926987,402.2006520526821,0.04251171766189102,0.4922642079374034,4.692622283107441,,,,,,
ethanol,t2_star,week4.2 mineral-oil-100% - T2* Analysis,0.9904776836812662,70.16389143790519,,,4.068437424272833,0.02533770130094973,,,0.0029582253442552867,0.0005257303583722774,2.2660997792663285e-07,,,,
ethanol,t1,week4.2 ethanol-100% - T1 Analysis,0.9116416639237999,33.329338907714366,,,,11.646242557464227,,,,,,0.3963697602047943,3.265274518520222,0.2966002567169548,4.86378857160316
methanol,t2,week4.2 methanol - T2 Analysis (J-Modulated),0.8057475087082959,91.92895324535905,0.12544859572795047,5.981240901489293,8.988667052696806,58.44326321902329,0.057100456631972246,0.3181888717783716,2.103545151452209,,,,,,
methanol,t2_star,week4.2 mineral-oil - T2* Analysis,0.9770926292971188,55.477258358996956,,,4.230285016047356,0.026375547408021057,,,0.0032989863909100255,0.000506140316244504,2.843200131448436e-07,,,,
